STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
672050,99999, 20161031,   83.5, 4,   72.2, 4, 1013.3, 4, 9999.9, 0,  17.9, 4,   5.8, 4,   6.0, 999.9,   89.2*,  65.3 , 0.00I,999.9, 000000,
672050,99999, 20161101,   84.9, 4,   71.5, 4, 1013.5, 4, 9999.9, 0,  17.9, 4,   5.1, 4,   6.0, 999.9,   92.5*,  73.4 , 0.00I,999.9, 000000,
672050,99999, 20161130,   82.9, 5,   72.3, 5, 9999.9, 0, 9999.9, 0, 999.9, 0,   4.4, 5,   8.0, 999.9,   91.0*,  71.6*, 0.00I,999.9, 000000,
672050,99999, 20161202,   86.5, 4,   74.5, 4, 1009.2, 4, 9999.9, 0,  18.6, 4,   6.5, 4,  11.1, 999.9,   91.8*,  75.2 , 0.00I,999.9, 000000,
672050,99999, 20161214,   84.0, 4,   76.5, 4, 1010.9, 4, 9999.9, 0,  18.6, 4,   4.8, 4,   8.0, 999.9,   89.2*,  76.8 , 0.16G,999.9, 000010,
672050,99999, 20170117,   84.9, 4,   76.9, 4, 1008.0, 4, 9999.9, 0,  17.9, 4,   4.5, 4,   8.0, 999.9,   90.1*,  76.1 , 0.20G,999.9, 000000,
672050,99999, 20170124,   84.7, 4,   73.3, 4, 9999.9, 0, 9999.9, 0,  14.3, 4,  17.0, 4, 999.9, 999.9,   92.7*,  69.8*, 0.00I,999.9, 100010,
672150,99999, 20090101,   83.8,15,   74.6,15, 1010.4, 7, 9999.9, 0,  10.6,15,  10.5,15,  15.0, 999.9,   89.6*,  78.1 , 0.00I,999.9, 000000,
672150,99999, 20090102,   82.2,15,   74.4,15, 1011.4, 5, 9999.9, 0,   9.0,15,   6.4,15,  12.0, 999.9,   90.5 ,  77.0 , 0.00I,999.9, 000000,
672150,99999, 20090103,   83.5,19,   74.7,19, 1010.4, 7, 9999.9, 0,   9.8,18,   8.9,19,  15.0, 999.9,   91.4 ,  76.5 , 0.00I,999.9, 000000,
672150,99999, 20090104,   83.1,20,   73.9,20, 1010.9, 7, 9999.9, 0,   8.9,20,   7.7,20,  11.1, 999.9,   92.1 ,  75.9 , 0.00I,999.9, 000000,
672150,99999, 20090105,   82.1,14,   73.8,14, 1010.6, 7, 9999.9, 0,  10.6,14,  10.2,14,  15.0, 999.9,   90.5 ,  76.3 , 0.00I,999.9, 000000,
672150,99999, 20090106,   83.9,19,   74.1,19, 1010.7, 8, 9999.9, 0,   9.9,19,   8.5,19,  12.0, 999.9,   90.5 ,  77.0 , 0.00I,999.9, 000000,
672150,99999, 20090107,   83.7,18,   72.3,18, 1011.2, 8, 9999.9, 0,  10.1,18,   9.8,18,  14.0, 999.9,   90.1 ,  76.5 , 0.00I,999.9, 000000,
672150,99999, 20090108,   83.2,17,   72.1,17, 1011.9, 7, 9999.9, 0,  10.1,17,  10.3,17,  16.9, 999.9,   87.8*,  76.1 , 0.00I,999.9, 000000,
672150,99999, 20090109,   82.4,17,   72.8,17, 1011.5, 7, 9999.9, 0,   9.9,17,   8.9,17,  14.0, 999.9,   86.0*,  76.1 , 0.00I,999.9, 000000,
672150,99999, 20090110,   83.5,14,   73.3,14, 1010.4, 6, 9999.9, 0,   9.8,14,   9.7,14,  15.0, 999.9,   89.4*,  76.6 , 0.00I,999.9, 000010,
672150,99999, 20090111,   83.6, 8,   73.9, 8, 1010.9, 4, 9999.9, 0,  10.5, 8,   7.6, 8,  12.0, 999.9,   91.4*,  74.3 , 0.00G,999.9, 000000,
672150,99999, 20090112,   82.5, 7,   71.6, 7, 1010.6, 5, 9999.9, 0,  11.8, 7,   8.7, 7,  15.9, 999.9,   93.2*,  75.4 , 0.31G,999.9, 000000,
672150,99999, 20090113,   82.1,17,   74.5,17, 1010.7, 8, 9999.9, 0,   8.9,17,   9.3,17,  15.0, 999.9,   89.2 ,  78.3 , 0.00G,999.9, 010010,
672150,99999, 20090114,   82.4,21,   73.5,21, 1010.8, 8, 9999.9, 0,   9.7,21,   9.7,21,  18.1, 999.9,   89.1 ,  77.0 , 0.08G,999.9, 000000,
672150,99999, 20090115,   81.8,15,   74.7,15, 1010.3, 7, 9999.9, 0,   8.5,15,   8.6,14,  14.0, 999.9,   89.6*,  77.0*, 0.00G,999.9, 010010,
672150,99999, 20090116,   79.0,15,   74.4,15, 1011.6, 6, 9999.9, 0,   9.0,15,   6.1,15,   9.9, 999.9,   81.0*,  75.2*, 9.45G,999.9, 010010,
672150,99999, 20090117,   83.6,12,   72.8,12, 1010.8, 4, 9999.9, 0,   9.8,12,  11.2,12,  14.0, 999.9,   87.8*,  80.6*, 0.20G,999.9, 000000,
672150,99999, 20090118,   78.9, 4,   73.0, 4, 1010.9, 4, 9999.9, 0,  13.2, 4,  10.0, 4,  13.0, 999.9,   80.1*,  76.6 , 0.00G,999.9, 000000,
672150,99999, 20090121,   78.7,10,   72.8,10, 1011.6, 4, 9999.9, 0,   8.6, 9,   6.5, 9,   8.9, 999.9,   88.5 ,  71.6*, 0.75G,999.9, 010010,
672150,99999, 20090122,   78.6,12,   72.0,12, 1011.6, 6, 9999.9, 0,  10.5,12,   5.7,12,   9.9, 999.9,   88.7 ,  73.4 , 0.00G,999.9, 000010,
672150,99999, 20090123,   80.5,17,   73.9,17, 1011.1, 6, 9999.9, 0,   9.2,17,   6.1,17,   9.9, 999.9,   87.3 ,  73.4*, 0.08E,999.9, 010010,
672150,99999, 20090124,   81.9,15,   76.8,15, 1010.8, 7, 9999.9, 0,   9.9,15,   4.0,10,   8.9, 999.9,   86.0 ,  73.8 , 0.87G,999.9, 000010,
672150,99999, 20090125,   82.7,19,   75.4,19, 1012.1, 6, 9999.9, 0,   9.2,19,   5.8,18,  11.1, 999.9,   88.9 ,  72.0 , 0.00G,999.9, 000000,
672150,99999, 20090126,   81.5,17,   77.1,17, 1013.8, 6, 9999.9, 0,   9.3,17,   5.1,10,   8.9, 999.9,   86.4*,  76.5 , 0.02A,999.9, 010000,
672150,99999, 20090127,   83.2,17,   76.2,17, 1012.7, 7, 9999.9, 0,  10.3,17,   7.6,12,   9.9, 999.9,   88.9 ,  74.8 , 0.00I,999.9, 000000,
672150,99999, 20090128,   82.5,17,   75.3,17, 1012.0, 8, 9999.9, 0,  10.5,17,   6.1,13,  11.1, 999.9,   88.3 ,  75.2 , 0.00I,999.9, 000000,
672150,99999, 20090129,   83.3,17,   76.4,17, 1011.0, 7, 9999.9, 0,   9.8,17,   5.7,12,  13.0, 999.9,   89.6*,  76.1 , 0.00I,999.9, 000010,
672150,99999, 20090130,   82.5,16,   75.8,16, 1010.8, 6, 9999.9, 0,  10.0,16,   9.3,11,  15.0, 999.9,   89.1 ,  76.3*,99.99 ,999.9, 010000,
672150,99999, 20090131,   84.3,10,   74.7,10, 1010.4, 4, 9999.9, 0,  10.1,10,   6.8, 4,   8.0, 999.9,   89.6*,  76.1 , 0.00I,999.9, 000010,
672150,99999, 20090201,   83.6,16,   75.3,16, 1011.0, 6, 9999.9, 0,  10.0,16,   6.8,12,   8.9, 999.9,   88.5 ,  75.9*, 0.00I,999.9, 000010,
672150,99999, 20090202,   82.9,16,   75.1,16, 1011.9, 6, 9999.9, 0,  10.4,16,   9.7,10,  15.0, 999.9,   90.5 ,  75.2*, 0.00I,999.9, 000010,
